StudentID,Date,Subject,Present,4501
1001,1/5/2025,Electronics,1,
1001,1/5/2025,Electronics,1,
1001,1/9/2025,Java,1,
1001,1/12/2025,SQL,1,
1001,1/23/2025,Python,0,
1001,2/5/2025,SQL,1,
1001,2/9/2025,Python,1,
1001,3/3/2025,SQL,1,
1001,3/10/2025,Data Science,0,
1001,3/15/2025,SQL,1,
1001,3/17/2025,Electronics,1,
1001,4/5/2025,Java,1,
1001,4/16/2025,Python,1,
1001,4/18/2025,Data Science,1,
1001,4/21/2025,Data Science,1,
1002,1/21/2025,SQL,1,
1002,1/21/2025,Python,1,
1002,1/22/2025,SQL,0,
1002,1/26/2025,Python,0,
1002,2/7/2025,SQL,1,
1002,2/12/2025,Java,1,
1002,2/18/2025,Electronics,1,
1002,2/20/2025,Python,1,
1002,2/23/2025,Python,1,
1002,2/23/2025,Java,1,
1002,3/11/2025,Electronics,1,
1002,3/15/2025,Data Science,1,
1002,3/26/2025,Python,0,
1002,4/1/2025,SQL,1,
1002,4/26/2025,Python,1,
1003,1/1/2025,Electronics,0,
1003,1/3/2025,SQL,1,
1003,1/7/2025,Electronics,1,
1003,2/20/2025,Java,1,
1003,3/3/2025,Electronics,1,
1003,3/7/2025,Data Science,1,
1003,3/19/2025,Java,1,
1003,3/25/2025,Python,0,
1003,3/28/2025,Data Science,1,
1003,4/3/2025,Java,0,
1003,4/4/2025,Java,0,
1003,4/6/2025,Electronics,1,
1003,4/14/2025,Python,1,
1003,4/20/2025,SQL,1,
1003,4/28/2025,Data Science,1,
1004,1/1/2025,Electronics,1,
1004,1/7/2025,Python,1,
1004,1/14/2025,SQL,0,
1004,1/19/2025,Electronics,1,
1004,1/29/2025,Data Science,1,
1004,2/3/2025,Java,1,
1004,2/6/2025,Python,1,
1004,2/26/2025,Java,1,
1004,2/28/2025,Electronics,1,
1004,3/19/2025,Java,1,
1004,4/7/2025,Data Science,1,
1004,4/16/2025,SQL,1,
1004,4/21/2025,Electronics,0,
1004,4/26/2025,Electronics,0,
1004,4/29/2025,Data Science,1,
1005,1/18/2025,Electronics,1,
1005,1/25/2025,SQL,1,
1005,1/26/2025,SQL,1,
1005,1/27/2025,Python,1,
1005,2/10/2025,SQL,1,
1005,2/13/2025,Java,1,
1005,3/15/2025,Java,1,
1005,3/22/2025,Python,1,
1005,3/27/2025,Data Science,0,
1005,4/1/2025,SQL,1,
1005,4/6/2025,Python,1,
1005,4/8/2025,Electronics,0,
1005,4/19/2025,Python,1,
1005,4/27/2025,SQL,0,
1005,4/28/2025,Java,1,
1006,1/21/2025,Java,1,
1006,1/26/2025,Electronics,1,
1006,1/26/2025,SQL,0,
1006,2/5/2025,Java,1,
1006,2/5/2025,Python,1,
1006,2/5/2025,Data Science,0,
1006,2/15/2025,SQL,0,
1006,2/22/2025,SQL,1,
1006,2/24/2025,Electronics,1,
1006,3/2/2025,Java,1,
1006,3/14/2025,Python,1,
1006,4/14/2025,Java,1,
1006,4/17/2025,Python,0,
1006,4/19/2025,Java,1,
1006,4/26/2025,Java,1,
1007,1/10/2025,Python,0,
1007,1/12/2025,Java,1,
1007,1/21/2025,Python,1,
1007,1/25/2025,Java,1,
1007,2/18/2025,Electronics,1,
1007,2/26/2025,Python,0,
1007,3/3/2025,Java,1,
1007,3/20/2025,Electronics,1,
1007,3/26/2025,SQL,1,
1007,4/4/2025,SQL,0,
1007,4/11/2025,Data Science,1,
1007,4/11/2025,Data Science,1,
1007,4/19/2025,SQL,0,
1007,4/25/2025,SQL,1,
1007,4/28/2025,Python,1,
1008,1/13/2025,SQL,1,
1008,1/24/2025,Java,1,
1008,1/30/2025,Java,1,
1008,2/2/2025,Electronics,1,
1008,2/12/2025,SQL,1,
1008,2/14/2025,SQL,1,
1008,3/7/2025,Java,1,
1008,3/27/2025,Python,1,
1008,4/3/2025,SQL,1,
1008,4/3/2025,Electronics,1,
1008,4/9/2025,Java,1,
1008,4/16/2025,Python,1,
1008,4/18/2025,Python,1,
1008,4/26/2025,Java,1,
1008,4/26/2025,Electronics,1,
1009,1/4/2025,Java,1,
1009,1/10/2025,Python,1,
1009,1/16/2025,Data Science,1,
1009,2/6/2025,Electronics,1,
1009,2/18/2025,Java,1,
1009,3/3/2025,Electronics,0,
1009,3/6/2025,Electronics,1,
1009,3/9/2025,Data Science,1,
1009,3/11/2025,Java,1,
1009,3/14/2025,Python,1,
1009,3/25/2025,Electronics,1,
1009,4/3/2025,Electronics,1,
1009,4/8/2025,Python,1,
1009,4/20/2025,SQL,0,
1009,4/30/2025,SQL,1,
1010,1/3/2025,Electronics,0,
1010,1/9/2025,Java,1,
1010,1/20/2025,SQL,1,
1010,2/1/2025,Java,1,
1010,2/9/2025,Python,1,
1010,2/16/2025,Python,1,
1010,2/26/2025,SQL,0,
1010,2/28/2025,SQL,1,
1010,3/3/2025,Python,0,
1010,3/8/2025,Java,0,
1010,3/14/2025,Data Science,1,
1010,3/17/2025,SQL,1,
1010,4/8/2025,Java,1,
1010,4/16/2025,Java,1,
1010,4/30/2025,Electronics,1,
1011,1/7/2025,Electronics,1,
1011,1/23/2025,SQL,0,
1011,2/14/2025,Electronics,1,
1011,2/14/2025,Python,1,
1011,2/17/2025,Python,1,
1011,2/27/2025,Python,0,
1011,3/1/2025,Electronics,1,
1011,3/8/2025,SQL,1,
1011,3/18/2025,Python,0,
1011,3/18/2025,Electronics,1,
1011,3/20/2025,Java,1,
1011,3/29/2025,Java,1,
1011,3/31/2025,SQL,0,
1011,4/2/2025,Python,0,
1011,4/10/2025,Java,1,
1012,1/10/2025,Python,0,
1012,1/17/2025,SQL,1,
1012,1/17/2025,Data Science,0,
1012,1/31/2025,SQL,1,
1012,2/8/2025,SQL,1,
1012,2/15/2025,Java,1,
1012,3/4/2025,Data Science,1,
1012,3/9/2025,Data Science,1,
1012,3/11/2025,Java,1,
1012,3/15/2025,Python,1,
1012,3/19/2025,Electronics,1,
1012,3/29/2025,Electronics,1,
1012,4/4/2025,Electronics,0,
1012,4/17/2025,Electronics,1,
1012,4/24/2025,Data Science,1,
1013,1/6/2025,Java,1,
1013,1/7/2025,Electronics,0,
1013,1/14/2025,Electronics,1,
1013,1/15/2025,Electronics,1,
1013,1/19/2025,Python,1,
1013,3/22/2025,Data Science,0,
1013,3/25/2025,Java,1,
1013,3/28/2025,SQL,0,
1013,4/3/2025,Electronics,1,
1013,4/8/2025,Electronics,1,
1013,4/9/2025,Data Science,1,
1013,4/9/2025,Electronics,1,
1013,4/11/2025,Java,1,
1013,4/26/2025,SQL,1,
1013,4/30/2025,Java,1,
1014,1/1/2025,SQL,1,
1014,1/3/2025,Data Science,1,
1014,1/12/2025,SQL,1,
1014,1/15/2025,SQL,1,
1014,1/25/2025,Python,1,
1014,2/13/2025,Electronics,1,
1014,2/15/2025,Python,1,
1014,2/17/2025,Python,0,
1014,2/22/2025,Java,1,
1014,3/5/2025,Python,1,
1014,3/21/2025,Java,1,
1014,3/25/2025,Data Science,1,
1014,3/27/2025,Electronics,1,
1014,3/29/2025,Java,1,
1014,4/26/2025,Java,1,
1015,1/2/2025,Python,0,
1015,1/6/2025,Python,1,
1015,1/8/2025,Java,1,
1015,1/26/2025,SQL,1,
1015,2/2/2025,Data Science,1,
1015,2/15/2025,Data Science,1,
1015,2/18/2025,Java,0,
1015,3/5/2025,SQL,1,
1015,3/15/2025,SQL,1,
1015,3/18/2025,Python,1,
1015,3/22/2025,Electronics,0,
1015,3/29/2025,Python,1,
1015,3/31/2025,SQL,1,
1015,4/5/2025,Java,1,
1015,4/8/2025,SQL,0,
1016,1/3/2025,Python,0,
1016,1/6/2025,SQL,1,
1016,1/8/2025,SQL,1,
1016,1/12/2025,Data Science,0,
1016,1/14/2025,Java,1,
1016,1/18/2025,Java,1,
1016,1/28/2025,SQL,1,
1016,2/14/2025,Java,1,
1016,2/20/2025,Data Science,1,
1016,2/24/2025,Data Science,1,
1016,3/16/2025,Data Science,1,
1016,3/25/2025,Java,1,
1016,4/3/2025,Electronics,1,
1016,4/6/2025,Python,1,
1016,4/13/2025,Python,1,
1017,1/8/2025,Data Science,1,
1017,1/15/2025,Python,0,
1017,2/8/2025,SQL,1,
1017,2/18/2025,Electronics,1,
1017,2/27/2025,Electronics,1,
1017,3/1/2025,SQL,1,
1017,3/2/2025,Electronics,1,
1017,3/2/2025,Data Science,1,
1017,3/7/2025,SQL,1,
1017,3/20/2025,Python,1,
1017,3/28/2025,SQL,1,
1017,4/2/2025,Data Science,1,
1017,4/6/2025,Python,1,
1017,4/19/2025,SQL,1,
1017,4/27/2025,SQL,1,
1018,1/5/2025,Python,1,
1018,1/14/2025,Python,1,
1018,1/20/2025,Java,1,
1018,1/28/2025,SQL,1,
1018,2/16/2025,Java,1,
1018,2/25/2025,Data Science,1,
1018,2/26/2025,Data Science,1,
1018,3/10/2025,Electronics,1,
1018,3/17/2025,Python,1,
1018,3/17/2025,Electronics,1,
1018,3/19/2025,SQL,0,
1018,4/13/2025,Python,1,
1018,4/17/2025,Electronics,1,
1018,4/28/2025,Data Science,1,
1018,4/28/2025,SQL,1,
1019,1/20/2025,SQL,1,
1019,1/29/2025,Python,0,
1019,1/29/2025,Python,1,
1019,2/12/2025,SQL,1,
1019,2/13/2025,Data Science,0,
1019,2/14/2025,Data Science,1,
1019,2/22/2025,SQL,1,
1019,2/25/2025,Java,1,
1019,3/10/2025,Python,1,
1019,3/11/2025,Electronics,1,
1019,3/14/2025,Electronics,1,
1019,3/19/2025,Data Science,0,
1019,4/16/2025,Data Science,1,
1019,4/21/2025,Data Science,1,
1019,4/30/2025,Data Science,1,
1020,1/5/2025,SQL,1,
1020,1/8/2025,Electronics,1,
1020,1/26/2025,Python,0,
1020,1/30/2025,SQL,1,
1020,2/2/2025,Python,1,
1020,3/4/2025,Python,1,
1020,3/7/2025,SQL,1,
1020,3/13/2025,Python,1,
1020,3/18/2025,Python,0,
1020,3/21/2025,Electronics,1,
1020,3/30/2025,Electronics,1,
1020,4/8/2025,Electronics,1,
1020,4/15/2025,SQL,1,
1020,4/24/2025,Electronics,0,
1020,4/29/2025,SQL,1,
1021,1/4/2025,Java,1,
1021,1/9/2025,Java,1,
1021,1/12/2025,Electronics,1,
1021,1/15/2025,Electronics,1,
1021,2/6/2025,Data Science,1,
1021,3/6/2025,Data Science,1,
1021,3/13/2025,SQL,1,
1021,3/13/2025,SQL,1,
1021,3/23/2025,Electronics,1,
1021,3/24/2025,Electronics,1,
1021,3/29/2025,Python,1,
1021,4/3/2025,Python,1,
1021,4/6/2025,Python,1,
1021,4/12/2025,SQL,1,
